Link,Exhibitor Name,Stand(s),Company Website,Email,Contact Number,Full Address,LinkedIn,Description
https://www.visionexpo.com/en-us/attend/exhibitor-list/exhibitor-details.studio%20optyx.org-fb20bd50-d3e1-4620-a17b-182a039871af.html,Studio Optyx,1829,https://www.studiooptyx.com/appointments,info@studiooptyx.com,314-241-9410,"2418 Northline Industrial Dr, St. Louis, Missouri, 63103, United States",https://www.linkedin.com/company/studio-optyx,"Dating back to 1879, we are the oldest optical company in the United States still owned by the descendants of the founding family, and you can see the dedication to our craft in each frame. Still headquartered in St. Louis through 5 generations, we are proud to service boutiques across the world. Our booth gets busy, so book an appointment now to save your spot: https://www.studiooptyx.com/appointments"
https://www.visionexpo.com/en-us/attend/exhibitor-list/exhibitor-details.tog%20thai%20optical%20group.org-99041971-0944-4ab6-b9e6-fb54aea08c24.html,TOG Thai Optical Group,3407,https://www.togusainc.com/contact-us/,info@togusainc.com,(866) 851-0743,"3016 Georgia St,, Louisiana, mo, 63353, United States",No Data On Link,"TOG USA, Inc is a wholly-owned US marketing and distribution subsidiary of Thai Optical Group Public Company Limited (TOG), the largest Thai-owned manufacturer and distributor of ophthalmic lenses. With over 60 years of experience, TOG provides a wide range of ophthalmic lens services with a customer base spread over 50 countries. TOG USA was established in 2017 to distribute high-performance ophthalmic lens in the US market. TOG USA is pleased to offer customers access to their new warehouse located near St. Louis. Contact us today to learn how we can meet your lens manufacturing needs."
https://www.visionexpo.com/en-us/attend/exhibitor-list/exhibitor-details.idoc.org-0cf8a527-cfc7-4c12-be54-b1bf8f3a8c9b.html,IDOC,1205,https://idoc.net/,info@idoc.net,(203) 853%E2%88%923333,"50 Quality Street, PO Box 110605, Trumbull, CT, 06611, United States",https://www.linkedin.com/company/idoc/posts/?feedView=all,"IDOC is a quietly powerful ally for independent optometrists, built to help them stay competitive while practicing on their own terms. With over 3,200 ODs in U.S. member practices—and part of a global community of 7,000+ owners caring for 50 million patients—IDOC delivers scale, strategic support, and supply chain advantages. Through collective purchasing, shared wisdom, and proven resources, we help independents navigate rising costs and competition without giving up autonomy. No manufacturers, managed care, or private equity—just ODs supporting ODs."
https://www.visionexpo.com/en-us/attend/exhibitor-list/exhibitor-details.kfw%20scientific%20industries.org-1633f3c1-218c-4dbf-9184-5cbdfe2d3587.html,KFW SCIENTIFIC INDUSTRIES,3215,http://www.kfwscientificindustries.com/product/slit-lamp-2/,kfwscientific@gmail.com,9.19812E+11,"B.O : 5430/3, Anaj Mandi Market, Near Nigar Cenema, Ambala Cantt, Haryana, India, Ambala, HARYANA, 133001, India",https://www.linkedin.com/in/vishal-verma-57754317?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_mediu,"“KFW Scientific Industries is a trusted manufacturer and exporter of high-quality ophthalmic and optometry instruments. We specialize in precision-engineered diagnostic, surgical, and clinic-use equipment designed for accuracy, durability, and global standards. With years of industry experience, we provide reliable products, competitive pricing, and customized manufacturing solutions for distributors and eye-care professionals worldwide.”"
https://www.visionexpo.com/en-us/attend/exhibitor-list/exhibitor-details.quay.org-164d409e-1f1b-4f56-9f11-2568881bfc3a.html,QUAY,1439,http://www.quay.com/,wholesale@quay.com,1-714-514-0128,"465 California Street, San Francisco, California, 94104, United States",https://www.linkedin.com/company/quay-australia,"Born in the music festival scene, QUAY continuously pushes the boundaries of eyewear through elevated details, signature silhouettes, and affordable trend-forward designs. Now emerging into the world of optical with a fresh and modern eye."
https://www.visionexpo.com/en-us/attend/exhibitor-list/exhibitor-details.westgroupe.org-5ef28e77-2435-4e76-a81b-84e3f2a19e45.html,WestGroupe,1329,https://www.westgroupe.com/,info@westgroupe.com,No Data On Link,"4775 Cousens St, Saint-Laurent, QC, H4S 1X5, Canada",https://ca.linkedin.com/company/westgroupe--wescan-western-optical,"We are driven by our customer commitment to excellent service and exceptional product. WestGroupe is dedicated to designing future standards in the optical business by developing, creating and supporting innovative products and services that allow our customers to succeed. WestGroupe offers a premium selection of international brands in over 40 countries, including FYSH, KLiiK Denmark, Evatik, One True Pair, Superflex®, Life Italia, AllSaints, Nano Vista, Versport, Bflex and Steel + Tate"
https://www.visionexpo.com/en-us/attend/exhibitor-list/exhibitor-details.2020now.org-014cb95b-77fa-444e-b2bc-acbdf8147d5a.html,2020/Now,3429,No Data On Link,No Data On Link,No Data On Link,"160 Eisenhower Lane, Illinois, North Lombard, 60148, United States",No Data On Link,No Data On Link
https://www.visionexpo.com/en-us/attend/exhibitor-list/exhibitor-details.aa%20optical%20company.org-ba9da624-377c-4a88-bd30-3a16eee37dd7.html,A&A Optical Company,1339,No Data On Link,No Data On Link,No Data On Link,"Ste, # 100, 3215 Skylane Dr, Carrollton, TX, 75006-2508, United States",No Data On Link,No Data On Link
https://www.visionexpo.com/en-us/attend/exhibitor-list/exhibitor-details.abbvie.org-89a45422-4685-4d51-b993-c4130c686bfd.html,AbbVie,3009,https://www.allerganeyecare.com/,eyecaresupport@allergan.com,1-800-416-8780,"2525 Dupont Dr, Irvine, CA, 92612-1599, United States",No Data On Link,"AbbVie's mission is to discover and deliver innovative medicines that solve serious health issues today and address the medical challenges of tomorrow. We strive to have a remarkable impact on people's lives across several key therapeutic areas. For more information about AbbVie, please visit us at www.abbvie.com. Follow @abbvie on Twitter, Facebook, Instagram, YouTube and LinkedIn"
https://www.visionexpo.com/en-us/attend/exhibitor-list/exhibitor-details.abs%20inc%20smart%20mirror.org-798c4f8f-c919-4477-acde-64440f74165e.html,ABS Inc Smart Mirror,1165,https://acep.tech/home.html,info@acep.tech,888-989-4227,"80 SW 8th St Ste 2000, Miami, FL, 33130-3038, United States",https://www.linkedin.com/company/acepgroup?original_referer=,"Digital measuring redefined with ACEP's Smart AI. Our simple, two-step process ensures accuracy and delivers reliable results. With our intuitive AI technology and augmented reality interactive demonstrations, you can exceed expectations during the fitting process. NOW is the time to extend your professional and technical expertise from the exam lane to your optical, creating a personalized, engaging, and captivating experience your patients deserve. Visit us at VEE to explore optical innovations that will elevate your practice to new levels of satisfaction and profitability."
